(family) doctor, general practitioner	de huisarts
(news)paper, magazine	het blad
(pair of) knickers, underpants	de slip
(pair of) trousers	de broek
(political) party	de partij
(traffic) lane	de rijstrook
1. nephew 2. cousin	de neef
1. niece 2. cousin	de nicht
a beer	het pintje
a bit	wat
a pity, too bad	jammer
about, approximately	ongeveer
above	boven
absolutely	absoluut
academic	academisch(e)
accent	het accent
accident	het ongeluk
accident	het ongeval
according to	volgens
accountant	de accountant
accounting	de boekhouding
active	actief (actieve)
activity, hustle	de drukte
activity	de activiteit
address	het adres
administration	de administratie
advice	het advies
afraid, scared	bang (e)
Africa	Afrika
afternoon	de namiddag
again	"opnieuw, weer"
against	tegen
age	de leeftijd
ago	geleden
agriculture	de landbouw
air, sky	de lucht
airplane	het vliegtuig
airport	de luchthaven
alarm clock	de wekker
alcohol	de alcohol
all right	in orde
all sort of things	van alles
all	allemaal
almond biscuit	de speculaas
almost	bijna
alone	alleen
along	langs
alphabet	het alfabet
already	al
already	alweer
also	ook
always	altijd
amateur	de amateur
ambulance	de ziekenwagen
America	Amerika
amusement park	het pretpark
angry	"boos, boze"
angry	"kwaad, kwade"
animal	het dier
answer	het antwoord
antibiotic	het antibioticum
antique, ancient, old	antiek(e)
anymore, no more, (any) longer	niet meer
anyway, anyhow	in elk geval
aperitif, appetizer	het aperitief
appartment	het appartement
apple	de appel
appointment	de afspraak
arm	de arm
around, about	zowat
arrival lounge, air terminal	de aankomsthal
arrogant	arrogant(e)
art	de kunst
article	het artikel
artist	de kunstenaar
as long as	zolang
as much	even veel
as quickly as possible	zo snel mogelijk
ashtray	de asbak
Asia	Azië
assistant	de assistent
at a certain moment	op een bepaald moment
at home	thuis
at least	tenminste
at night	's nachts
at the back	achteraan
at the end	op het eind
at the top	bovenaan
at your service	tot uw dienst
at	bij
attention	de aandacht
attention	de attentie
attraction	de attractie
aunt	de tante
Australia	Australië
automatic	automatisch(e)
autonomous	autonoom (autonome)
autonomy	de autonomie
autumn, fall	de herfst
average	gemiddeld(e)
awake	wakker
away from	weg van
baby	de baby
back of the neck	de nek
back seat	de achterbank
back, hind(most)	achterste
back	de rug
back	terug
bad	slecht(e)
badly injured person	de zwaargewonde
bag	"de tas, de zak"
baker	de bakker
balcony	het balkon
ball	de bal
banana	de banaan
bank	de bank
basket	de mand
bath	het bad
bathroom	de badkamer
be!	wees! (<zijn)
beans	de boontjes
beautiful	mooi(e)
because	want
bed	het bed
bedroom	de slaapkamer
beer	het bier
before (now), sooner	eerder
before	voor
beginning	het begin
behind	achter
beige	beige
Belgian	Belgisch(e)
Belgian	de Belg
bell	de bel
belt	de riem
bench	de bank
besides, moreover	daarbij
between	tussen
beyond, past	voorbij
bicycle thief	de fietsendief
bike	de fiets
bilingual	tweetalig(e)
bill, account	de rekening
birth	de geboorte
birthday	de verjaardag
biscuit	het koekje
bit (een beetje: a bit, some)	het beetje
black	zwart(e)
blame	de schuld
blast	verdorie
blond	blond(e)
blood	het bloed
blouse	de bloes
blue	blauw(e)
body	het lichaam
bold, shameless, impudent	brutaal (brutale)
bomb	de bom
bonnet, woollen hood	de muts
book	het boek
bookcase, bookshelves	de boekenkast
boot	de laars
border	de grens
boring, annoying	vervelend(e)
born	geboren
boss, employer	de baas
both	allebei
both	beide
bottle	de fles
bottom(most)	onderste
bouquet, bunch of flowers	het boeket
boutique	de klerenwinkel
box	de doos
boy	de jongen
bra, brassière	de beha
bread	het brood
breakfast	het ontbijt
bridge	de brug
brilliant, magnificent	schitterend(e)
broadcasting cooperation	de omroep
